CAS #,Compound,"LA3C0610 - Marathon Petroleum Garyville, LA.Detection Level (DL)","LA3C0610 - Marathon Petroleum Garyville, LA.lb/cycle","OH2A0910 BP-Husky Oregon, OH.DL","OH2A0910 BP-Husky Oregon, OH.lb/cycle","TX3B1160 ExxonMobil Baytown, TX.DL","TX3B1160 ExxonMobil Baytown, TX.lb/cycle","TX3B1200 Houston Refining Houston, TX.DL","TX3B1200 Houston Refining Houston, TX.lb/cycle","VI6A1530 Hovensa Christiansted, VI.DL","VI6A1530 Hovensa Christiansted, VI.lb/cycle"
75-07-0,Acetaldehyde,,,BDL,7.10E-01,,3.60E-03,,2.75E-02,,
50-00-0,Formaldehyde,,,BDL,1.20E-01,,2.60E-04,,1.83E-02,,
74-90-8,Hydrogen cyanide,,,DLL,2.30E-03,BDL,1.81E-04,,1.92E-03,,
,Propanal,,,BDL,1.30E+00,,,,4.00E-03,,
7647-01-0,Hydrogen Chloride,,,DLL,1.50E-01,DLL,3.24E-03,,,,
7782-41-4,Hydrogen Fluoride,,,BDL,3.60E-03,BDL,3.18E-03,,,,
,Hydrogen Sulfide,,42.50,,7.14E+00,,3.72E+00,DLL,3.83E-02,,
,,,,,,,,"1 Included 2nd run in this avg, facility","1 Included 2nd run in this avg, facility",,
VOLATILE ORGANIC HAP 1,VOLATILE ORGANIC HAP 1,,,,,,,wanted to exclude,2nd run from avg,,
67-64-1,Acetone,,,BDL,8.20E-01,BDL,1.30E-03,,3.02E-01,,
750-05-8,Acetonitrile,,,BDL,1.60E+00,DLL,1.25E-02,DLL,4.87E-01,,
107-02-8,Acrolein,,,BDL,6.60E-01,BDL,6.60E-04,BDL,5.91E-01,,
107-13-1,Acrylonitrile,,,BDL,5.80E-01,BDL,1.75E-03,BDL,1.25E-03,,
71-43-2,Benzene,DLL,0.76,DLL,1.90E+00,DLL,3.41E-01,DLL,1.20E-02,BDL,1.10E+01
106-99-0,"1,3-Butadiene",,,BDL,4.70E-01,BDL,6.50E-04,BDL,1.25E-03,,
75-15-0,Carbon Disulfide,,,BDL,1.20E-01,BDL,1.58E-01,BDL,1.33E-02,,
,Carbonyl Sulfide,,,BDL,1.20E+00,BDL,3.69E-01,BDL,1.96E-02,,
108-90-7,Chlorobenzene,,,DLL,2.90E-01,BDL,8.00E-04,BDL,1.25E-03,,
98-82-8,Cumene (Isopropylbenzene),,,DLL,1.60E-01,DLL,4.78E-03,BDL,1.34E-03,,
106-93-4,"1,2-Dibromoethane",,,BDL,1.70E+00,,5.00E-01,BDL,1.25E-03,,
100-41-4,Ethylbenzene,,,DLL,5.70E-01,,1.21E-01,DLL,4.49E-03,,
110-54-3,Hexane,,,DLL,7.00E-01,BDL,1.19E-01,BDL,1.47E-03,,
,Isooctane,,,,,,,,,,
108-10-1,Methyl iso-Butyl Ketone,,,DLL,1.00E-01,BDL,5.70E-04,BDL,3.18E-01,,
1634-04-4,Methyl t-Butyl Ether (MTBE),,,DLL,1.10E-01,,9.50E-03,BDL,1.25E-03,,
75-09-2,Methylene Chloride,,,DLL,4.40E+00,,1.81E-03,,1.54E-02,,
98-95-3,Nitrobenzene,,,DLL,4.20E-01,BDL,7.86E-03,BDL,6.86E-03,,
79-46-9,2-Nitropropane,,,DLL,4.30E-01,BDL,2.11E-02,BDL,4.00E-03,,
109-66-0,Pentane,,,DLL,6.80E-01,DLL,2.92E-01,BDL,2.95E-03,,
100-42-5,Styrene,,,DLL,1.80E-01,DLL,3.40E-03,BDL,1.35E-03,,
127-18-4,Tetrachloroethene,,,BDL,1.70E+00,BDL,6.44E-03,BDL,1.25E-03,,
108-88-3,Toluene,,2.66,DLL,6.80E+00,DLL,1.30E+00,DLL,1.28E-01,BDL,1.30E+01
,Trichloroethene,,,BDL,1.70E+00,BDL,7.54E-03,BDL,3.00E-01,,
540-84-1,"2,2,4-Trimethylpentane",,,DLL,1.00E-01,BDL,4.90E-04,BDL,1.26E-03,,
1330-20-7,Xylene,,,,,,,,,,
,o-Xylene,,,DLL,1.30E+00,,1.85E-01,DLL,7.16E-03,,
,m&p-Xylenes,,,,,,7.62E-01,DLL,3.45E-02,,
,p-Xylene,,,DLL,2.70E+00,,,,,,
